Name,Price,Release Date,Publisher,Developer,% Positive Reviews (30 days),Total Number Reviews (30 days),%PosAT,TotalReviewsAT,Genre(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Back 4 Blood,$29.99,12-Oct-21,"Warner Bros. Games, Warner Bros. Interactive Entertainment, ","Turtle Rock Studios, ",N/A,N/A,80,"6,014 ","Zombies, Action, Online Co-Op, Multiplayer, Shooter, FPS, Co-op, First-Person, Gore, Blood, Adventure, Violent, Horror, Singleplayer, PvP, Survival, Survival Horror, PvE, Replay Value, Roguelite, ", 40 GB available space,0,1,0
New World,$39.99,"Sep 28, 2021","Amazon Games, ","Amazon Games, ",N/A,N/A,73,"118,342 ","Massively Multiplayer, MMORPG, Open World, Adventure, RPG, Action, PvP, PvE, Multiplayer, Fantasy, Character Customization, Third Person, Crafting, Walking Simulator, Open World Survival Craft, Sandbox, Co-op, Violent, Souls-like, Sexual Content, ", 50 GB available space,0,1,0
Halo: The Master Chief Collection,$39.99," Dec 3, 2019",,,N/A,N/A,N/A,N/,N/A,N/A,0,0,0
The Jackbox Party Pack 8,$29.99,"Oct 13, 2021","Jackbox Games, Inc., ","Jackbox Games, Inc., ",N/A,N/A,91,101 ,"Party Game, Family Friendly, Comedy, Trivia, Colorful, Indie, Word Game, Cartoon, Funny, 2D, Local Co-Op, Local Multiplayer, Team-Based, Casual, ", 3 GB available space,1,1,1
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,$59.99,"Oct 15, 2021","SEGA, ","CyberConnect2, ",N/A,N/A,90,"1,329 ","Action, Anime, Adventure, 3D Fighter, Action-Adventure, 2D Fighter, 3D, Cartoon, Demons, Cinematic, Colorful, Comic Book, Drama, Emotional, PvP, Foreign, Combat, Controller, Multiplayer, Quick-Time Events, ", 25 GB available space,0,1,0
The Riftbreaker,$29.99,"Oct 14, 2021","EXOR Studios, Surefire.Games, ","EXOR Studios, ",N/A,N/A,92,"1,601 ","Base Building, Strategy, Survival, Tower Defense, Hack and Slash, Action RPG, Crafting, Adventure, Simulation, RPG, Sci-fi, Resource Management, Exploration, Loot, Isometric, Building, Sandbox, Atmospheric, Action, Aliens, ", 8 GB available space,0,1,0
Phasmophobia,$13.99,"Sep 18, 2020","Kinetic Games, ","Kinetic Games, ",97,"11,037 Recent
",97,"274,217 ","Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, Supernatural, VR, First-Person, Investigation, Dark, Mystery, Detective, Demons, Early Access, Thriller, 3D, Indie, Action, Tactical, Lovecraftian, ", 16 GB available space,0,1,0
Baldur's Gate 3,$19.99,"Oct 6, 2020","Larian Studios, ","Larian Studios, ",85,"960 Recent
",88,"40,349 ","Early Access, RPG, Dungeons & Dragons, Choices Matter, Turn-Based, Story Rich, Character Customization, Party-Based RPG, CRPG, Co-op Campaign, Fantasy, Romance, Class-Based, Dark Fantasy, PvE, Narration, Stealth, Combat, Crafting, Dragons, ", 150 GB available space,1,1,0
Madden NFL 22,$59.99,"Aug 20, 2021","Electronic Arts, ","Tiburon, ",55,"484 Recent
",44,"1,127 ","Sports, Football, Controller, PvP, Immersive Sim, Realistic, Casual, eSports, Physics, Third Person, Team-Based, Strategy, Simulation, Cinematic, America, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, ", 50 GB available space,0,1,0
Disco Elysium - The Final Cut,$39.99,"Oct 15, 2019","ZA/UM, ","ZA/UM, ",92,"1,185 Recent
",94,"38,785 ","RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, CRPG, Noir, Open World, Surreal, Visual Novel, Adventure, Indie, Exploration, Character Customization, Funny, Point & Click, Fantasy, Action RPG, ", 20 GB available space,1,1,0
