Name,Price,Release Date,Publisher,Developer,PerPosRev30,TNR30,PerPosRevAT,TNRAT,Genre,Storage,Mac,Windows,SteamLinux,MacWindow,MacSteam,WindowSteam,All,AvgNRAT,AvgNR30,AvgPrice
Back 4 Blood,29.99,10/12/2021,"Warner Bros. Games, Warner Bros. Interactive Entertainment,","Turtle Rock Studios,",0,0,80,6822,Zombies,40,0,1,0,0,0,0,0,25623.46429,359.8928571,89.56321429
New World,39.99,9/28/2021,"Amazon Games,","Amazon Games,",0,0,74,120254,Massively,50,0,1,0,0,0,0,0,16539.88889,31.44444444,26.54555556
Halo: The Master Chief Collection,39.99,12/3/2019,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,59.99,10/15/2021,"SEGA,","CyberConnect2,",0,0,89,1793,Action,25,0,1,0,0,0,0,0,3264.582596,57.48230088,45.25634218
The Jackbox Party Pack 8,29.99,10/13/2021,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",0,0,91,124,Party,3,1,1,1,1,1,1,1,51168.28571,1051.285714,28.56142857
The Riftbreaker,29.99,10/14/2021,"EXOR Studios, Surefire.Games,","EXOR Studios,",0,0,91,2192,Base,8,0,1,0,0,0,0,0,12061.4,333.9,29.586
Ori and the Will of the Wisps,29.99,3/11/2020,"Xbox Game Studios,","Moon Studios GmbH,",96,717,96,67034,Beautiful,20,0,1,0,0,0,0,0,33522.5,358.5,29.99
Disco Elysium - The Final Cut,39.99,10/15/2019,"ZA/UM,","ZA/UM,",92,1278,94,38898,RPG,20,1,1,0,1,0,0,0,4388.014535,70.58139535,41.3109593
Phasmophobia,29.99,9/18/2020,"Kinetic Games,","Kinetic Games,",97,10969,97,274508,Horror,16,0,1,0,0,0,0,0,9720.064,250.024,25.10824
Madden NFL 22,59.99,8/20/2021,"Electronic Arts,","Tiburon,",56,502,44,1154,Sports,50,0,1,0,0,0,0,0,2365.833333,70.66666667,42.68636364
Baldur's Gate 3,59.99,10/6/2020,"Larian Studios,","Larian Studios,",86,1016,88,40436,Early,0.15,1,1,0,1,0,0,0,2148.634615,61.64423077,23.27759615
Fallout 4: Game of the Year Edition,39.99,11/10/2015,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,1.719557196,0.070110701,30.50527675
