Name,Price,Release Date,Publisher,Developer,Percent Positive Reviews (30 days),Total Number Reviews (30 days),PerPosRevAT,Total Number Reviews (All Time),Genere(s),Storage Capacity,Mac?,Windows?,Steam OS + Linux?
Back 4 Blood, 29.99 ,10/12/2021,"Warner Bros. Games, Warner Bros. Interactive Entertainment,","Turtle Rock Studios,",N/A,N/A,80,6822,"Zombies, Action, Online Co-Op, Multiplayer, Shooter, FPS, Co-op, First-Person, Gore, Adventure, Blood, Violent, Horror, Singleplayer, PvP, Survival, Survival Horror, PvE, Replay Value, Roguelite,",40 GB available space,0,1,0
New World, 39.99 ,9/28/2021,"Amazon Games,","Amazon Games,",N/A,N/A,74,120254,"Massively Multiplayer, MMORPG, Open World, Adventure, RPG, Action, PvP, PvE, Multiplayer, Fantasy, Character Customization, Third Person, Crafting, Walking Simulator, Open World Survival Craft, Sandbox, Co-op, Violent, Souls-like, Sexual Content,",50 GB available space,0,1,0
Halo: The Master Chief Collection, 39.99 ,12/3/2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles, 59.99 ,10/15/2021,"SEGA,","CyberConnect2,",N/A,N/A,89,1793,"Action, Anime, Adventure, 3D Fighter, Action-Adventure, 2D Fighter, 3D, Cartoon, Demons, Cinematic, Colorful, Comic Book, Drama, Emotional, PvP, Foreign, Combat, Controller, Multiplayer, Quick-Time Events,",25 GB available space,0,1,0
The Jackbox Party Pack 8, 29.99 ,10/13/2021,"Jackbox Games, Inc.,","Jackbox Games, Inc.,",N/A,N/A,91,124,"Party Game, Family Friendly, Comedy, Trivia, Colorful, Indie, Word Game, Cartoon, Funny, 2D, Local Co-Op, Local Multiplayer, Team-Based, Casual,",3 GB available space,1,1,1
The Riftbreaker, 29.99 ,10/14/2021,"EXOR Studios, Surefire.Games,","EXOR Studios,",N/A,N/A,91,2192,"Base Building, Strategy, Survival, Tower Defense, Hack and Slash, Action RPG, Crafting, Adventure, Simulation, Sci-fi, RPG, Exploration, Resource Management, Loot, Isometric, Building, Sandbox, Atmospheric, Action, Aliens,",8 GB available space,0,1,0
Ori and the Will of the Wisps, 29.99 ,3/11/2020,"Xbox Game Studios,","Moon Studios GmbH,",96,717,96,67034,"Beautiful, Great Soundtrack, Metroidvania, Platformer, Action, Singleplayer, Adventure, Atmospheric, Story Rich, Cute, Exploration, Action-Adventure, Puzzle, Emotional, Difficult, Indie, Fantasy, Open World, 2D, Souls-like,",20 GB available space,0,1,0
Disco Elysium - The Final Cut, 39.99 ,10/15/2019,"ZA/UM,","ZA/UM,",92,1278,94,38898,"RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, CRPG, Noir, Open World, Surreal, Visual Novel, Adventure, Indie, Exploration, Character Customization, Funny, Point & Click, Fantasy, Action RPG,",20 GB available space,1,1,0
Phasmophobia, 29.99 ,9/18/2020,"Kinetic Games,","Kinetic Games,",97,10969,97,274508,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, Supernatural, VR, First-Person, Investigation, Dark, Mystery, Detective, Demons, Early Access, Thriller, 3D, Indie, Action, Tactical, Lovecraftian,",16 GB available space,0,1,0
Ori: The Collection, 34.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Madden NFL 22, 59.99 ,8/20/2021,"Electronic Arts,","Tiburon,",56,502,44,1154,"Sports, Football, Controller, PvP, Immersive Sim, Realistic, Casual, eSports, Physics, Third Person, Team-Based, Strategy, Simulation, Cinematic, America, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer,",50 GB available space,0,1,0
Baldur's Gate 3, 59.99 ,10/6/2020,"Larian Studios,","Larian Studios,",86,1016,88,40436,"Early Access, RPG, Dungeons & Dragons, Choices Matter, Turn-Based, Story Rich, Character Customization, Party-Based RPG, CRPG, Co-op Campaign, Fantasy, Romance, Class-Based, Dark Fantasy, PvE, Narration, Stealth, Combat, Crafting, Dragons,",150 GB available space,1,1,0
Battlefield Bundle, 129.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Sid Meier’s Civilization® VI Anthology, 209.85 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Fallout 4: Game of the Year Edition, 39.99 ,11/10/2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Grand Theft Auto V: Premium Edition, 39.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Rust, 29.99 ,2/8/2018,"Facepunch Studios,","Facepunch Studios,",89,9816,87,547480,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, Sandbox, PvP, Adventure, First-Person, Action, FPS, Nudity, Co-op, Shooter, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation,",20 GB available space,1,1,0
It Takes Two, 39.99 ,3/26/2021,"Electronic Arts,","Hazelight,",96,1766,95,40528,"Co-op, Adventure, Split Screen, Puzzle, Multiplayer, Local Co-Op, Puzzle Platformer, Story Rich, 3D Platformer, Local Multiplayer, Platformer, Action-Adventure, Online Co-Op, Co-op Campaign, Action, Female Protagonist, Emotional, Atmospheric, Exploration, Minigames,",50 GB available space,0,1,0
Noita, 19.99 ,10/15/2020,"Nolla Games,","Nolla Games,",94,711,95,33534,"Difficult, Physics, Roguelike, Dungeon Crawler, Indie, Action, Open World, Action Roguelike, Perma Death, Roguelite, Sandbox, RPG, 2D, Pixel Graphics, 2D Platformer, Gun Customization, Action-Adventure, Dark Humor, Mythology, Crafting,",1600 MB available space,0,1,0
Borderlands 3: Super Deluxe Edition, 79.99 ,3/13/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Borderlands 3 Ultimate Edition, 114.97 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
Forza Horizon 5, 59.99 ,11/9/2021,"Xbox Game Studios,","Playground Games,",N/A,N/A,N/A,N/A,"Racing, Adventure, Open World, Automobile Sim, Simulation, Exploration, Arcade, Realistic, Driving, First-Person, Atmospheric, Multiplayer, Sports, PvP, Co-op, Online Co-Op, Singleplayer, Action, Third Person,",110 GB available space,0,1,0
Sid Meier’s Civilization® VI, 59.99 ,10/21/2016,"2K, Aspyr (Mac), Aspyr (Linux),","Firaxis Games, Aspyr (Mac), Aspyr (Linux),",87,3361,82,129817,"Strategy, Turn-Based Strategy, Historical, Multiplayer, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, City Builder, Tactical, Great Soundtrack, Moddable, Building, Management, Online Co-Op, Co-op, Hex Grid, Atmospheric,",12 GB available space,1,1,1
Battlefield V, 49.99 ,11/9/2018,"Electronic Arts,","DICE,",73,11421,69,61817,"FPS, World War II, Shooter, Multiplayer, War, Singleplayer, First-Person, Military, PvP, Open World, Combat, Massively Multiplayer, Action, Historical, Destruction, Atmospheric, Battle Royale, Violent, Sexual Content, Female Protagonist,",50 GB available space,0,1,0
FIFA 22, 59.99 ,10/1/2021,"Electronic Arts,","EA Canada,",N/A,N/A,81,5550,"Soccer, Sports, Football, Simulation, Competitive, Multiplayer, Realistic, Singleplayer, Online Co-Op, Local Co-Op, Local Multiplayer, PvP, Family Friendly, Controller, eSports, Immersive Sim, Physics, Team-Based, Co-op, Cinematic,",50 GB available space,0,1,0
Red Dead Redemption 2, 19.99 ,12/5/2019,"Rockstar Games,","Rockstar Games,",93,5332,86,187502,"Open World, Adventure, Story Rich, Western, Action, Multiplayer, Shooter, Realistic, Singleplayer, Third-Person Shooter, Atmospheric, Horses, Beautiful, Great Soundtrack, Third Person, Mature, Sandbox, First-Person, Gore, FPS,",150 GB available space,0,1,0
Stardew Valley, 14.99 ,2/26/2016,"ConcernedApe,","ConcernedApe,",98,5894,97,334338,"Farming Sim, Life Sim, RPG, Pixel Graphics, Multiplayer, Agriculture, Simulation, Relaxing, Crafting, Sandbox, Indie, Building, Singleplayer, Casual, Open World, 2D, Great Soundtrack, Cute, Dating Sim, Fishing,",500 MB available space,1,1,1
Slay the Spire, 24.99 ,1/23/2019,"Mega Crit Games,","Mega Crit Games,",97,1014,97,83885,"Roguelike Deckbuilder, Card Battler, Card Game, Roguelike, Deckbuilding, Turn-Based, Strategy, Singleplayer, Roguelite, Replay Value, Indie, Difficult, Dungeon Crawler, RPG, Mouse only, Great Soundtrack, Fantasy, 2D, Procedural Generation, Casual,",1 GB available space,1,1,1
Battlefield 4™, 39.99 ,10/29/2013,"Electronic Arts,","DICE,",85,3167,86,25966,"Multiplayer, FPS, Shooter, Singleplayer, Military, Action, War, First-Person, PvP, Violent, Co-op, Massively Multiplayer, Destruction, Controller, Open World, Tactical, Online Co-Op, Great Soundtrack, Strategy, Story Rich,",30 GB available space,0,1,0
The Outer Worlds, 59.99 ,10/23/2020,"Private Division,","Obsidian Entertainment,",85,405,85,13206,"Action RPG, Open World, RPG, Exploration, FPS, Adventure, Singleplayer, Story Rich, Shooter, First-Person, Choices Matter, Sci-fi, Action, PvE, Space, Character Customization, Comedy, Action-Adventure, Colorful, Funny,",40 GB available space,0,1,0
Valheim, 29.99 ,2/2/2021,"Coffee Stain Publishing,","Iron Gate AB,",91,8294,95,239623,"Open World Survival Craft, Survival, Online Co-Op, Open World, Crafting, Building, Multiplayer, Exploration, Co-op, Base Building, Sandbox, Adventure, Mythology, Sailing, RPG, Early Access, Action, Indie, PvP, Fishing,",1 GB available space,0,1,1
Poppy Playtime, 29.99 ,10/12/2021,"MOB Games,","MOB Games,",N/A,N/A,94,443,"Horror, Puzzle, First-Person, Singleplayer, Lore-Rich, Indie, Cute, Survival Horror, Cartoony, Survival, Dark, Atmospheric, Psychological Horror, 1980s, Physics, Adventure, Mystery, Action-Adventure, Thriller, Action,",10 GB available space,0,1,0
Bloons TD 6, 9.99 ,12/17/2018,"Ninja Kiwi,","Ninja Kiwi,",97,7277,97,113119,"Strategy, Tower Defense, Multiplayer, Singleplayer, Co-op, Online Co-Op, Family Friendly, Casual, 3D, Cartoony, Sandbox, Difficult, Funny, Great Soundtrack, Survival, Action, Cute, Indie, 2D, Adventure,",2048 MB available space,1,1,0
Battlefield 1 ™, 39.99 ,10/20/2016,"Electronic Arts,","DICE,",84,4708,84,45244,"FPS, Multiplayer, World War I, Shooter, War, Action, Singleplayer, First-Person, Atmospheric, PvP, Historical, Open World, Massively Multiplayer, Gore, Destruction, Tanks, Physics, Violent, Great Soundtrack, Mature,",50 GB available space,0,1,0
